Source,Title,Link,Keywords Used
The Grio,Guess which Black celebrity had a hand in Kerry Washington meeting her husband,"=HYPERLINK(""https://thegrio.com/2024/12/20/guess-which-black-celebrity-had-a-hand-in-kerry-washington-meeting-her-husband/"", ""Link"")",Black
The Grio,"According to Spotify, Kendrick Lamar’s ‘Not Like Us’ racked up nearly a billion streams the old fashioned way — by being a bop","=HYPERLINK(""https://thegrio.com/2024/12/20/according-to-spotify-kendrick-lamars-not-like-us-racked-up-nearly-a-billion-streams-the-old-fashioned-way-by-being-a-bop/"", ""Link"")",Kendrick Lamar
The Grio,"Nikki Giovanni, revolutionary poet and voice of Black resilience, dies at 81","=HYPERLINK(""https://thegrio.com/2024/12/09/nikki-giovanni-revolutionary-poet-and-voice-of-black-resilience-dies-at-81/"", ""Link"")",Black
The Grio,Bernard and Shirley Kinsey: Preserving Black history with art,"=HYPERLINK(""https://thegrio.com/2024/12/06/bernard-and-shirley-kinsey-preserving-black-history-with-art/"", ""Link"")",Black
The Grio,"According to Spotify, Kendrick Lamar’s ‘Not Like Us’ racked up nearly a billion streams the old fashioned way — by being a bop","=HYPERLINK(""https://thegrio.com/2024/12/20/according-to-spotify-kendrick-lamars-not-like-us-racked-up-nearly-a-billion-streams-the-old-fashioned-way-by-being-a-bop/"", ""Link"")",Kendrick Lamar
The Grio,Guess which Black celebrity had a hand in Kerry Washington meeting her husband,"=HYPERLINK(""https://thegrio.com/2024/12/20/guess-which-black-celebrity-had-a-hand-in-kerry-washington-meeting-her-husband/"", ""Link"")",Black
The Grio,"According to Spotify, Kendrick Lamar’s ‘Not Like Us’ racked up nearly a billion streams the old fashioned way — by being a bop","=HYPERLINK(""https://thegrio.com/2024/12/20/according-to-spotify-kendrick-lamars-not-like-us-racked-up-nearly-a-billion-streams-the-old-fashioned-way-by-being-a-bop/"", ""Link"")",Kendrick Lamar
The Grio,MICHAEL HARRIOT,"=HYPERLINK(""https://thegrio.com/author/michael-harriot/"", ""Link"")",Michael Harriot
The Grio,I kind of wonder if Jaleel White ever watched any Black shows on television,"=HYPERLINK(""https://thegrio.com/2024/12/10/i-kind-of-wonder-if-jaleel-white-ever-watched-any-black-shows-on-television/"", ""Link"")",Black
The Grio,What Black Friday’s history tells us about holiday shopping in 2024,"=HYPERLINK(""https://thegrio.com/2024/11/26/what-black-fridays-history-tells-us-about-holiday-shopping-in-2024/"", ""Link"")",Black
