Headline,Link,Keywords
Home,"=HYPERLINK(""https://thegrio.com/2024/12/19/hbo-ends-deal-with-sesame-street-halting-new-episodes/"", ""https://thegrio.com/2024/12/19/hbo-ends-deal-with-sesame-street-halting-new-episodes/"")","Kendrick Lamar, Black"
"HBO ends deal with ‘Sesame Street,’ halting new episodes","=HYPERLINK(""https://thegrio.com/2024/12/19/hbo-ends-deal-with-sesame-street-halting-new-episodes/"", ""https://thegrio.com/2024/12/19/hbo-ends-deal-with-sesame-street-halting-new-episodes/"")","Kendrick Lamar, Black"
Entertainment,"=HYPERLINK(""https://www.theroot.com/entertainment"", ""https://www.theroot.com/entertainment"")",Black
Latest,"=HYPERLINK(""https://www.theroot.com/latest"", ""https://www.theroot.com/latest"")",Black
Culture,"=HYPERLINK(""https://www.theroot.com/culture"", ""https://www.theroot.com/culture"")",Black
✉️Straight from The Root,"=HYPERLINK(""https://www.theroot.com/watch-50-cent-confronts-andrew-schulz-over-kendrick-la-1851724388"", ""https://www.theroot.com/watch-50-cent-confronts-andrew-schulz-over-kendrick-la-1851724388"")","black culture, Kendrick Lamar, Black culture, Black"
Travis Hunter Reportedly Contributed Funds To Colorado Buffaloes’ NIL Collective,"=HYPERLINK(""https://www.blackenterprise.com/travis-hunter-contributes-buffaloes-nil-collective/"", ""https://www.blackenterprise.com/travis-hunter-contributes-buffaloes-nil-collective/"")",Black
Latest News,"=HYPERLINK(""https://atlantablackstar.com/2024/12/19/ice-cubes-son-straight-outta-compton-star-oshea-jackson-jr-unrecognizable-drastic-weight-gain/"", ""https://atlantablackstar.com/2024/12/19/ice-cubes-son-straight-outta-compton-star-oshea-jackson-jr-unrecognizable-drastic-weight-gain/"")",Black
Black Voices,"=HYPERLINK(""https://www.huffpost.com/entry/third-spaces-and-gen-z_l_675ca0fee4b0a6324e3b58ad"", ""https://www.huffpost.com/entry/third-spaces-and-gen-z_l_675ca0fee4b0a6324e3b58ad"")",Black
2024 Election Dealt Another Injury To Black Women,"=HYPERLINK(""https://newsone.com/5787273/2024-election-black-women/"", ""https://newsone.com/5787273/2024-election-black-women/"")",Black
2024 Election Dealt Another Injury To Black Women,"=HYPERLINK(""https://newsone.com/5787273/2024-election-black-women/"", ""https://newsone.com/5787273/2024-election-black-women/"")",Black
The Black Ballot: 2024 Election One Week Later,"=HYPERLINK(""https://newsone.com/category/the-black-ballot/"", ""https://newsone.com/category/the-black-ballot/"")",Black
NewsOne Partners With Howard U For Election Day,"=HYPERLINK(""https://newsone.com/5676587/live-from-the-mecca-newsone-howard-university-election-day/"", ""https://newsone.com/5676587/live-from-the-mecca-newsone-howard-university-election-day/"")","critical race theory, Black"
Here's Every Black Heisman Winner In NCAA History,"=HYPERLINK(""https://newsone.com/2000058/black-heisman-trophy-winners/"", ""https://newsone.com/2000058/black-heisman-trophy-winners/"")",Black
The Black Pilgrims Of Plymouth,"=HYPERLINK(""https://newsone.com/category/black-folklore/"", ""https://newsone.com/category/black-folklore/"")",Black
The Black Pilgrims Of Plymouth,"=HYPERLINK(""https://newsone.com/category/black-folklore/"", ""https://newsone.com/category/black-folklore/"")",Black
Is 'Family Matters' Ranked Among Best Black TV?,"=HYPERLINK(""https://newsone.com/category/entertainment/"", ""https://newsone.com/category/entertainment/"")",Black
Biden Must Go Much Further To Truly Achieve History-Making Justice,"=HYPERLINK(""https://newsone.com/category/news/civil-rights-social-justice/"", ""https://newsone.com/category/news/civil-rights-social-justice/"")",Black
Howard Swimming Program Honored In PBS Documentary,"=HYPERLINK(""https://newsone.com/category/news/good-news/"", ""https://newsone.com/category/news/good-news/"")",Black
Remembering Nikki Giovanni's Love,"=HYPERLINK(""https://newsone.com/category/news/opinion/"", ""https://newsone.com/category/news/opinion/"")",Black
10 Leading Causes Of Death Among Black Americans,"=HYPERLINK(""https://newsone.com/5789476/top-10-leading-causes-of-death-among-black-americans/"", ""https://newsone.com/5789476/top-10-leading-causes-of-death-among-black-americans/"")",Black
Nikki Giovanni Poems That Will Lift Your Spirits,"=HYPERLINK(""https://newsone.com/5767303/nikki-giovanni-poems-lift-your-spirits/"", ""https://newsone.com/5767303/nikki-giovanni-poems-lift-your-spirits/"")",Black
NewsOne,"=HYPERLINK(""https://newsone.com/category/news/civil-rights-social-justice/"", ""https://newsone.com/category/news/civil-rights-social-justice/"")",Black
AFRICA/BLACK AMERICA,"=HYPERLINK(""https://myafricanmagazine.com/category/africablack-america/history-africablack-america/"", ""https://myafricanmagazine.com/category/africablack-america/history-africablack-america/"")",Black
AFRICA/BLACK AMERICA,"=HYPERLINK(""https://myafricanmagazine.com/category/africablack-america/history-africablack-america/"", ""https://myafricanmagazine.com/category/africablack-america/history-africablack-america/"")",Black
Accelerate performance,"=HYPERLINK(""https://github.blog/news-insights/research/survey-ai-wave-grows/"", ""https://github.blog/news-insights/research/survey-ai-wave-grows/"")",coding
"From startups to enterprises,GitHub scaleswith teams of any size in any industry.","=HYPERLINK(""https://github.com/customer-stories/figma"", ""https://github.com/customer-stories/figma"")",coding
I. Introduction,"=HYPERLINK(""https://go.gptbot.io/prompts-library"", ""https://go.gptbot.io/prompts-library"")","artificial intelligence, ChatGPT"
