title,link,source
Energy chief Granholm warns against 'unfettered exports' of liquefied natural gas,"=HYPERLINK(""https://www.npr.org/2024/12/18/g-s1-38746/granholm-liquefied-natural-gas"")",NPR
Generative AI and Climate Change Are on a Collision Course,"=HYPERLINK(""https://www.wired.com/story/true-cost-generative-ai-data-centers-energy/"")",Wired
"Intel finally notches a GPU win, confirms Arc B580 is selling out after stellar reviews","=HYPERLINK(""https://www.theverge.com/2024/12/17/24323888/intel-arc-b580-sold-out-availability"")",The Verge
"AI is burying company web sites in search results, but Otterly.AI thinks it can help","=HYPERLINK(""https://techcrunch.com/2024/12/18/ai-is-burying-company-web-sites-in-search-results-but-otterly-ai-thinks-it-can-help/"")",TechCrunch
UK government denies rift with Mauritian PM over Chagos Islands deal,"=HYPERLINK(""https://www.theguardian.com/world/2024/dec/17/uk-government-denies-rift-with-mauritian-pm-over-chagos-island-deal"")",The Guardian
A Weary Biden Heads for the Exit,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/biden-final-days-in-office.html"")",The New York Times
Suspect in Russian General’s Killing Detained Outside of Moscow,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/europe/russia-general-killing-suspect-uzbekistan.html"")",The New York Times
Video Captures Blast That Killed Russian General Igor Kirillov,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/world/europe/russian-general-assassination-igor-kirillov-video.html"")",The New York Times
Biden Administration Running Out of Time to Send Allocated Aid to Ukraine,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/ukraine-aid-biden-trump.html"")",The New York Times
Wisconsin School Shooting: Madison Residents Grieve as They Wait to Learn More,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/wisconsin-school-shooting-madison-residents.html"")",The New York Times
Gun Violence Around Schools Has Risen Since the Pandemic,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/gun-violence-school-shootings-pandemic.html"")",The New York Times
"Trump Sues The Des Moines Register, Escalating Threats Against the Media","=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/trump-sues-des-moines-register.html"")",The New York Times
Trump Picks Herschel Walker to Be Ambassador to the Bahamas,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/herschel-walker-bahamas-trump.html"")",The New York Times
House Republicans Call for Liz Cheney to Be Investigated Over Jan. 6 Committee Role,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/liz-cheney-jan-6-house-republicans.html"")",The New York Times
Honda and Nissan Are in Talks to Deepen Ties and Possibly Merge,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/business/honda-nissan-talks-merger.html"")",The New York Times
Luigi Mangione Charged With Murder in UnitedHealthcare CEO Killing,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/nyregion/mangione-first-degree-murder-terrorism.html"")",The New York Times
Congressional Leaders Unveil Short-Term Spending Bill Tied to Disaster Aid,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/world/europe/congress-short-term-spending-bill.html"")",The New York Times
Sherrod Brown Signs Off in the Senate. For Now.,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/sherrod-brown-senate-career.html"")",The New York Times
Pentagon Repatriates Malaysian Prisoners Who Pleaded Guilty to War Crimes,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/us/politics/malaysian-prisoners-repatriated-gitmo.html"")",The New York Times
A 7-Eleven Heir’s $50 Billion Fight to Keep the Company in the Family,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/business/7-eleven-japan-corporate-culture.html"")",The New York Times
"In Visit to Territory Seized in Syria, Netanyahu Says Troops Will Stay","=HYPERLINK(""https://www.nytimes.com/2024/12/17/world/middleeast/17syria-israel-netanyahu.html"")",The New York Times
Limits on Aid to Syria Threaten to Worsen the Country’s Humanitarian Crisis,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/world/middleeast/syria-sanctions-aid-limits.html"")",The New York Times
Trump Mines Fraught Moment in Canadian Politics,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/world/canada/trudeau-trump-tariffs.html"")",The New York Times
"The TV Shows, Movies and Music That Readers Loved in 2024","=HYPERLINK(""https://www.nytimes.com/2024/12/17/arts/shows-movies-music-reader-favorites-2024.html"")",The New York Times
How Elon Musk and Taylor Swift Can Resolve U.S.-China Relations,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/opinion/us-china-musk-swift-tariffs-manufacturing.html"")",The New York Times
U.S. Agrees to Pay $116 Million to Settle Sexual Abuse Claims at California Prison,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/us/california-prison-settlement-sexual-abuse.html"")",The New York Times
"U.K. Police Chiefs Were Too Slow to Respond to Summer Riots, Report Says","=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/europe/uk-riots-police-response-report.html"")",The New York Times
Tax Preparer Known as ‘the Magician’ Bilked I.R.S. Out of $145 Million,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/nyregion/fraud-tax-return-charges-bronx.html"")",The New York Times
"The Trocks, an All-Male Comic Ballet Troupe in Drag, Turn 50","=HYPERLINK(""https://www.nytimes.com/2024/12/16/arts/dance/the-trocks-male-comedy-ballet-drag-troupe-50.html"")",The New York Times
