title,link,source,direct_link
"Botto, the Millionaire AI Artist, Is Getting a Personality","=HYPERLINK(""https://www.wired.com/story/botto-the-millionaire-ai-artist-is-getting-a-personality/"")",Wired,https://www.wired.com/story/botto-the-millionaire-ai-artist-is-getting-a-personality/
"In Trump World, RFK Jr. and Elon Musk Highlight Debate Over Obesity Treatment","=HYPERLINK(""https://www.nytimes.com/2024/12/18/health/ozempic-food-rfk-elon-musk.html"")",The New York Times,https://www.nytimes.com/2024/12/18/health/ozempic-food-rfk-elon-musk.html
"Trump Sues The Des Moines Register, Escalating Threats Against the Media","=HYPERLINK(""https://www.nytimes.com/2024/12/17/us/politics/trump-sues-des-moines-register.html"")",The New York Times,https://www.nytimes.com/2024/12/17/us/politics/trump-sues-des-moines-register.html
Supreme Court to Hear TikTok’s Challenge to Law That Could Ban It,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/us/politics/supreme-court-tiktok-ban.html"")",The New York Times,https://www.nytimes.com/2024/12/18/us/politics/supreme-court-tiktok-ban.html
The Economy Is Finally Stable. Will That Change With Trump?,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/business/economy/trump-us-economy.html"")",The New York Times,https://www.nytimes.com/2024/12/18/business/economy/trump-us-economy.html
American Kitchens Face an Uncertain Mix: Olive Oil and Tariffs,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/dining/olive-oil-tariffs.html"")",The New York Times,https://www.nytimes.com/2024/12/18/dining/olive-oil-tariffs.html
"Killing of Russian General Sends a Message, but Doesn’t Change the War for Ukraine","=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/europe/russia-kirillov-ukraine-general.html"")",The New York Times,https://www.nytimes.com/2024/12/18/world/europe/russia-kirillov-ukraine-general.html
Suspect in Russian General’s Killing Detained Outside of Moscow,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/europe/russia-general-killing-suspect-uzbekistan.html"")",The New York Times,https://www.nytimes.com/2024/12/18/world/europe/russia-general-killing-suspect-uzbekistan.html
Zelensky to Meet With E.U. Leaders to Discuss Ukraine’s Future,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/europe/zelensky-eu-ukraine.html"")",The New York Times,https://www.nytimes.com/2024/12/18/world/europe/zelensky-eu-ukraine.html
"Buy, Donate, Repeat. At 91, Leonard Lauder Has More to Give","=HYPERLINK(""https://www.nytimes.com/2024/12/18/arts/design/leonard-lauder-philanthropy-metropolitan-museum-whitney.html"")",The New York Times,https://www.nytimes.com/2024/12/18/arts/design/leonard-lauder-philanthropy-metropolitan-museum-whitney.html
"Al-Assad’s Soldiers Hope for Amnesty. First, They Have to Take a Number.","=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/middleeast/syria-assad-soldier-amnesty.html"")",The New York Times,https://www.nytimes.com/2024/12/18/world/middleeast/syria-assad-soldier-amnesty.html
Cease-Fire Between Kurdish and Turkish-Backed Forces Is Extended in Northern Syria,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/middleeast/cease-fire-extended-kurdish-forces-turkey-syria.html"")",The New York Times,https://www.nytimes.com/2024/12/18/world/middleeast/cease-fire-extended-kurdish-forces-turkey-syria.html
"Who Is Dominique Pelicot, the Man at the Center of France’s Mass Rape Trial?","=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/europe/france-dominique-pelicot-rape-trial.html"")",The New York Times,https://www.nytimes.com/2024/12/18/world/europe/france-dominique-pelicot-rape-trial.html
The Once Booming Drug Town Going Bust Under Taliban Rule,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/asia/afghanistan-opium-heroin-taliban.html"")",The New York Times,https://www.nytimes.com/2024/12/18/world/asia/afghanistan-opium-heroin-taliban.html
Tiny Coffins: Measles Is Killing Thousands of Children in Congo,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/health/measles-congo-vaccines.html"")",The New York Times,https://www.nytimes.com/2024/12/18/health/measles-congo-vaccines.html
The U.S. Has No Special Panel for Nazi-Loot Claims. Could That Change?,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/arts/design/united-states-nazi-art-restitution-panel.html"")",The New York Times,https://www.nytimes.com/2024/12/18/arts/design/united-states-nazi-art-restitution-panel.html
How the Right and the MAHA Movement Have Co-opted ‘Crunchy’,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/well/crunchy-moms-maha-rfk-jr.html"")",The New York Times,https://www.nytimes.com/2024/12/18/well/crunchy-moms-maha-rfk-jr.html
I Was a Health Insurance Executive. What I Saw Made Me Quit.,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/opinion/health-insurance-united-ceo-shooting.html"")",The New York Times,https://www.nytimes.com/2024/12/18/opinion/health-insurance-united-ceo-shooting.html
The Photos that Defined 2024,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/briefing/2024-the-year-in-pictures.html"")",The New York Times,https://www.nytimes.com/2024/12/18/briefing/2024-the-year-in-pictures.html
Seth Meyers Ridicules Robert F. Kennedy Jr.’s Workout Fashion,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/arts/television/seth-meyers-robert-kennedy.html"")",The New York Times,https://www.nytimes.com/2024/12/18/arts/television/seth-meyers-robert-kennedy.html
"‘Murder Hornet’ Has Been Eradicated From the U.S., Officials Say","=HYPERLINK(""https://www.nytimes.com/2024/12/18/us/murder-hornet-washington.html"")",The New York Times,https://www.nytimes.com/2024/12/18/us/murder-hornet-washington.html
"China’s Nuclear Buildup Is on Track Despite Graft Scandals, Pentagon Says","=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/asia/china-nuclear-buildup.html"")",The New York Times,https://www.nytimes.com/2024/12/18/world/asia/china-nuclear-buildup.html
Investigation of Police ‘Courtesy Cards’ Finds a 2-Tiered System of Justice,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/nyregion/new-jersey-state-police-courtesy-cards.html"")",The New York Times,https://www.nytimes.com/2024/12/18/nyregion/new-jersey-state-police-courtesy-cards.html
Drug Charges Against Sean Combs Associate Are Dropped in Florida,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/arts/music/sean-combs-brendan-paul-charges-dropped.html"")",The New York Times,https://www.nytimes.com/2024/12/18/arts/music/sean-combs-brendan-paul-charges-dropped.html
"Guillaume Diop, Paris Opera Ballet’s First Black Etoile, Is Lighting Up the Stage","=HYPERLINK(""https://www.nytimes.com/2024/12/16/arts/dance/guillaume-diop-paris-opera-ballet.html"")",The New York Times,https://www.nytimes.com/2024/12/16/arts/dance/guillaume-diop-paris-opera-ballet.html
Gas Will Be the First Big Climate Fight of the Trump Era,"=HYPERLINK(""https://www.theatlantic.com/science/archive/2024/12/gas-lng-climate-trump/681041/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/science/archive/2024/12/gas-lng-climate-trump/681041/?utm_source=feed
Ukraine’s Hardest Winter,"=HYPERLINK(""https://www.theatlantic.com/international/archive/2024/12/ukraine-russia-war-trump-election/681035/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/international/archive/2024/12/ukraine-russia-war-trump-election/681035/?utm_source=feed
An Energetic Protostar,"=HYPERLINK(""https://www.theatlantic.com/science/archive/2024/12/day-18-2024-space-telescope-advent-calendar-energetic-protostar/681040/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/science/archive/2024/12/day-18-2024-space-telescope-advent-calendar-energetic-protostar/681040/?utm_source=feed
The Outrage Over <em>100 Men</em> Only Goes So Far,"=HYPERLINK(""https://www.theatlantic.com/ideas/archive/2024/12/lily-phillips-outrage-porn-100-men/681032/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/ideas/archive/2024/12/lily-phillips-outrage-porn-100-men/681032/?utm_source=feed
You Are Cordially Invited to an Event That Could Ruin Your Life,"=HYPERLINK(""https://www.theatlantic.com/culture/archive/2024/12/lindsey-graham-pete-hegseth-sexual-assault-accuser-satire/681039/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/culture/archive/2024/12/lindsey-graham-pete-hegseth-sexual-assault-accuser-satire/681039/?utm_source=feed
The Pro-Eating-Disorder Internet Is Back,"=HYPERLINK(""https://www.theatlantic.com/technology/archive/2024/12/eating-disorder-content-x/681036/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/technology/archive/2024/12/eating-disorder-content-x/681036/?utm_source=feed
Why Can’t Robots Stay Robots?,"=HYPERLINK(""https://www.theatlantic.com/culture/archive/2024/12/wild-robot-motherhood/681030/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/culture/archive/2024/12/wild-robot-motherhood/681030/?utm_source=feed
Why Do Big Families Get Such a Bad Rap?,"=HYPERLINK(""https://www.theatlantic.com/family/archive/2024/12/ode-big-families/681005/?utm_source=feed"")",The Atlantic,https://www.theatlantic.com/family/archive/2024/12/ode-big-families/681005/?utm_source=feed
