Headline,Source,URL
What’s Inside the Spending Bill to Avoid a Government Shutdown?,The New York Times,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/us/politics/spending-bill-explainer.html"", ""https://www.nytimes.com/2024/12/18/us/politics/spending-bill-explainer.html"")"
California Declares an Emergency Over Bird Flu in Cattle,The New York Times,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/health/bird-flu-emergency-california.html"", ""https://www.nytimes.com/2024/12/18/health/bird-flu-emergency-california.html"")"
What to Know About Bird Flu Risk After California’s Emergency Declaration,The New York Times,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/well/bird-flu-health-risks.html"", ""https://www.nytimes.com/2024/12/18/well/bird-flu-health-risks.html"")"
"Fed Cuts Interest Rates, but Projects Fewer Reductions in 2025",The New York Times,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/business/fed-meeting-interest-rates.html"", ""https://www.nytimes.com/2024/12/18/business/fed-meeting-interest-rates.html"")"
"Killing of Russian General Sends a Message, but Doesn’t Change the War for Ukraine",The New York Times,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/europe/russia-kirillov-ukraine-general.html"", ""https://www.nytimes.com/2024/12/18/world/europe/russia-kirillov-ukraine-general.html"")"
"‘Life-Changing’ Psychedelic, for When Life Is Ending",The New York Times,"=HYPERLINK(""https://www.nytimes.com/2024/12/17/health/psychedelic-medicine-palliative-care-end-of-life.html"", ""https://www.nytimes.com/2024/12/17/health/psychedelic-medicine-palliative-care-end-of-life.html"")"
"Who Is Dominique Pelicot, the Man at the Center of France’s Mass Rape Trial?",The New York Times,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/world/europe/france-dominique-pelicot-rape-trial.html"", ""https://www.nytimes.com/2024/12/18/world/europe/france-dominique-pelicot-rape-trial.html"")"
"Buy, Donate, Repeat. At 91, Leonard Lauder Has More to Give",The New York Times,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/arts/design/leonard-lauder-philanthropy-metropolitan-museum-whitney.html"", ""https://www.nytimes.com/2024/12/18/arts/design/leonard-lauder-philanthropy-metropolitan-museum-whitney.html"")"
Man Who Ran Secret Police Office in New York Admits He Was Chinese Agent,The New York Times,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/nyregion/chinese-police-station-plea-chen-jinping.html"", ""https://www.nytimes.com/2024/12/18/nyregion/chinese-police-station-plea-chen-jinping.html"")"
How the Right and the MAHA Movement Have Co-opted ‘Crunchy’,The New York Times,"=HYPERLINK(""https://www.nytimes.com/2024/12/18/well/crunchy-moms-maha-rfk-jr.html"", ""https://www.nytimes.com/2024/12/18/well/crunchy-moms-maha-rfk-jr.html"")"
